Term / kata,business,entertainment,politics
said,151,257,100
us,96,8,37
bn,93,12,2
year,89,46,73
market,59,13,2
firm,58,6,1
mr,57,196,20
compani,55,8,11
share,45,1,6
rise,45,1,2
govern,44,60,26
last,43,21,34
rate,42,5,8
economi,42,3,0
would,41,99,35
growth,41,1,1
price,41,0,0
bank,40,3,1
sale,39,1,15
also,38,54,50
new,38,45,54
month,36,12,6
econom,36,5,0
could,34,45,13
product,33,2,11
busi,32,17,2
may,31,24,10
cut,31,13,3
oil,29,0,1
group,28,21,13
analyst,27,1,1
report,26,34,9
countri,26,32,9
trade,26,12,2
howev,26,8,7
offer,26,7,4
yuko,26,0,0
need,25,24,8
increas,25,7,0
dollar,25,0,2
fall,24,2,5
stock,24,2,0
demand,24,1,2
one,23,31,55
time,23,31,21
news,23,25,4
interest,23,6,2
court,23,6,1
back,22,26,11
continu,22,11,8
sinc,22,10,10
state,22,9,11
tax,22,9,7
quarter,22,3,2
insur,22,0,0
gm,22,0,0
say,21,89,11
expect,21,15,12
three,21,6,20
two,20,20,26
world,20,9,5
china,20,9,0
debt,20,7,0
europ,20,4,3
export,20,3,1
make,19,36,23
claim,19,26,0
mani,19,16,16
face,19,15,4
put,19,14,11
level,19,8,2
figur,19,4,4
financi,19,3,3
lse,19,0,0
case,18,22,3
come,18,16,11
move,18,11,22
european,18,7,6
target,18,4,1
declin,18,1,3
profit,18,1,1
euro,18,0,0
gener,17,28,6
recent,17,15,8
much,17,13,10
million,17,12,15
unit,17,3,3
budget,17,2,3
german,17,1,3
fell,17,0,4
japan,17,0,2
lisbon,17,0,0
told,16,46,13
part,16,15,11
hous,16,14,11
meet,16,13,3
club,16,8,2
spend,16,5,9
competit,16,0,5
sharehold,16,0,0
servic,15,21,4
first,15,20,32
polici,15,16,0
includ,15,15,48
london,15,9,19
job,15,7,6
accord,15,6,7
high,15,6,1
invest,15,3,4
decemb,15,3,2
biggest,15,1,7
less,15,1,4
exchang,15,1,1
go,14,38,25
call,14,33,15
nation,14,26,9
like,14,19,21
remain,14,12,13
forc,14,10,1
hold,14,10,1
hit,14,6,27
fund,14,6,19
fear,14,5,1
bid,14,1,1
telecom,14,0,0
peopl,13,80,26
plan,13,34,6
problem,13,26,9
tri,13,11,7
close,13,8,9
secur,13,7,2
deal,13,6,6
record,13,5,29
money,13,5,9
drug,13,5,2
presid,13,3,5
strong,13,3,3
higher,13,1,0
orang,13,0,4
low,13,0,1
economist,13,0,0
crude,13,0,0
tobacco,13,0,0
deficit,13,0,0
deutsch,13,0,0
boers,13,0,0
minist,12,64,0
public,12,41,11
take,12,22,21
ad,12,20,15
look,12,14,7
still,12,13,8
talk,12,13,3
union,12,13,0
well,12,9,18
eu,12,8,0
agre,12,7,5
import,12,6,10
grow,12,5,1
india,12,4,7
industri,12,3,13
januari,12,1,10
februari,12,1,8
administr,12,1,1
manufactur,12,0,0
ukrain,12,0,0
corp,12,0,0
euronext,12,0,0
use,11,38,8
decis,11,19,2
week,11,18,16
even,11,17,8
list,11,13,4
foreign,11,13,1
show,11,12,47
fox,11,12,7
set,11,11,10
action,11,11,4
seen,11,10,8
warn,11,10,2
control,11,10,2
offici,11,10,1
announc,11,9,6
due,11,8,8
global,11,6,0
valu,11,5,3
past,11,5,2
rais,11,4,3
approv,11,4,0
half,11,3,4
cost,11,3,2
franc,11,3,2
largest,11,3,0
annual,11,3,0
rose,11,1,6
sell,11,1,3
consum,11,1,0
car,11,0,5
project,11,0,4
domest,11,0,0
revenu,11,0,0
russian,11,0,0
polit,10,35,1
law,10,30,6
made,10,19,14
becom,10,15,21
current,10,15,4
concern,10,14,1
four,10,10,7
research,10,9,1
chief,10,7,4
despit,10,5,2
earlier,10,4,2
sector,10,4,2
pay,10,3,7
oper,10,3,1
damag,10,3,0
octob,10,1,2
loss,10,1,1
investor,10,0,2
output,10,0,2
pari,10,0,1
trillion,10,0,0
ufj,10,0,0
feder,10,0,0
fiat,10,0,0
indonesia,10,0,0
khodorkovski,10,0,0
kok,10,0,0
right,9,48,14
uk,9,38,31
want,9,31,13
rule,9,26,3
former,9,22,6
help,9,18,14
hope,9,16,13
newspap,9,12,0
end,9,11,9
see,9,11,8
execut,9,11,5
england,9,11,4
follow,9,9,17
life,9,7,20
run,9,7,10
futur,9,7,4
order,9,7,0
effect,9,7,0
reach,9,6,3
telegraph,9,6,0
good,9,4,11
anoth,9,4,5
head,9,4,3
main,9,4,3
benefit,9,4,2
risk,9,4,1
york,9,3,13
tuesday,9,3,2
buy,9,2,5
giant,9,2,3
gain,9,2,3
card,9,2,0
index,9,1,0
drop,9,0,8
blue,9,0,3
japanes,9,0,3
takeov,9,0,2
recal,9,0,1
virgin,9,0,0
file,9,0,0
recoveri,9,0,0
pernod,9,0,0
vioxx,9,0,0
vehicl,9,0,0
work,8,28,32
power,8,20,4
think,8,19,13
believ,8,18,4
alreadi,8,11,8
associ,8,10,3
clear,8,10,0
fight,8,9,3
found,8,8,10
key,8,7,6
charg,8,7,2
accus,8,6,1
deni,8,6,1
second,8,5,8
manag,8,5,5
lead,8,5,5
full,8,5,2
meanwhil,8,5,1
reduc,8,5,1
friday,8,4,6
account,8,4,3
affect,8,4,1
perform,8,3,25
creat,8,3,7
sign,8,3,5
confid,8,3,0
aid,8,2,4
poor,8,1,3
bush,8,1,1
colour,8,1,0
boss,8,0,1
fraud,8,0,1
exposur,8,0,1
worldcom,8,0,0
barrel,8,0,0
bankruptci,8,0,0
weak,8,0,0
russia,8,0,0
smoke,8,0,0
menatep,8,0,0
get,7,39,16
leader,7,34,1
chang,7,28,4
offic,7,23,13
next,7,23,13
whether,7,21,3
way,7,17,9
number,7,16,28
ask,7,16,6
day,7,15,20
thing,7,13,6
dr,7,13,0
major,7,9,2
improv,7,9,0
develop,7,8,3
far,7,8,3
comment,7,8,0
third,7,7,9
lost,7,7,5
cover,7,7,2
septemb,7,6,4
critic,7,5,16
total,7,5,5
alli,7,5,1
boost,7,5,0
around,7,4,8
point,7,4,5
latest,7,4,3
caus,7,3,3
requir,7,3,2
seek,7,3,1
lawyer,7,3,0
among,7,2,5
admit,7,2,3
cash,7,2,3
financ,7,2,2
met,7,2,1
germani,7,2,1
guilti,7,2,0
pressur,7,2,0
fuel,7,2,0
journalist,7,2,0
environment,7,2,0
success,7,1,13
previous,7,1,4
defenc,7,1,0
press,7,1,0
custom,7,1,0
data,7,1,0
season,7,0,4
strength,7,0,2
lower,7,0,1
rival,7,0,1
ebber,7,0,0
asia,7,0,0
sumitomo,7,0,0
slowdown,7,0,0
withprofit,7,0,0
yushchenko,7,0,0
merck,7,0,0
dam,7,0,0
gorg,7,0,0
upward,7,0,0
issu,6,35,8
member,6,22,5
health,6,21,3
suggest,6,15,3
argu,6,12,0
reform,6,12,0
mean,6,11,3
top,6,9,23
yet,6,9,6
start,6,8,9
agenc,6,8,2
came,6,7,4
previou,6,7,3
commiss,6,7,2
monday,6,7,1
statement,6,7,0
ago,6,6,6
result,6,6,2
novemb,6,6,0
find,6,5,11
ahead,6,5,2
ensur,6,5,1
north,6,5,0
standard,6,5,0
turn,6,4,14
launch,6,4,5
link,6,4,4
thursday,6,4,4
small,6,4,2
organis,6,4,1
regul,6,4,0
disast,6,4,0
big,6,3,10
march,6,3,4
heart,6,3,4
central,6,3,1
asset,6,3,0
unemploy,6,3,0
energi,6,3,0
produc,6,2,25
fourth,6,2,4
care,6,2,3
appeal,6,2,3
corpor,6,2,2
unlik,6,2,2
australia,6,2,1
american,6,1,6
estim,6,1,3
overal,6,1,2
drive,6,1,2
settl,6,1,1
founder,6,1,1
inflat,6,1,0
equiti,6,1,0
nationwid,6,1,0
construct,6,1,0
own,6,0,1
heavi,6,0,1
america,6,0,1
slow,6,0,1
prosecutor,6,0,0
forecast,6,0,0
lg,6,0,0
creditor,6,0,0
safeti,6,0,0
yugansk,6,0,0
rosneft,6,0,0
yuan,6,0,0
reddi,6,0,0
clearstream,6,0,0
elect,5,61,0
pension,5,25,0
support,5,21,14
bill,5,20,3
legal,5,20,1
allow,5,19,2
home,5,17,18
know,5,14,13
place,5,12,13
intern,5,11,5
five,5,10,17
return,5,10,4
long,5,9,8
david,5,9,4
given,5,8,7
peter,5,8,4
senior,5,7,0
poverti,5,7,0
thought,5,6,4
took,5,5,8
societi,5,5,2
illeg,5,5,2
term,5,5,1
specul,5,5,0
name,5,4,25
saw,5,4,7
noth,5,4,4
area,5,4,4
protect,5,4,2
consid,5,4,2
review,5,4,2
addit,5,4,1
threat,5,4,0
option,5,4,0
might,5,4,0
director,5,3,22
provid,5,3,3
possibl,5,3,2
least,5,3,1
practic,5,3,1
battl,5,2,6
credit,5,2,3
capit,5,2,3
print,5,2,2
reject,5,2,1
holiday,5,2,1
assess,5,2,0
indic,5,2,0
rel,5,1,7
plead,5,1,1
brand,5,1,1
titan,5,1,1
model,5,1,1
weather,5,1,0
temperatur,5,1,0
suppli,5,1,0
korea,5,1,0
recess,5,1,0
privatis,5,1,0
recommend,5,1,0
amid,5,1,0
ignor,5,1,0
stake,5,1,0
borrow,5,1,0
impact,5,1,0
televis,5,0,10
sold,5,0,4
combin,5,0,4
panel,5,0,3
myer,5,0,1
although,5,0,1
yen,5,0,1
properti,5,0,1
soar,5,0,1
surg,5,0,1
stadium,5,0,1
collaps,5,0,0
recov,5,0,0
opec,5,0,0
weaken,5,0,0
merger,5,0,0
risen,5,0,0
bonu,5,0,0
domecq,5,0,0
corrupt,5,0,0
fda,5,0,0
ntpc,5,0,0
sri,5,0,0
lanka,5,0,0
thailand,5,0,0
singapor,5,0,0
gdp,5,0,0
benin,5,0,0
rupe,5,0,0
refineri,5,0,0
mobil,5,0,0
reinsur,5,0,0
ifo,5,0,0
ford,5,0,0
easymobil,5,0,0
bdo,5,0,0
prime,4,22,0
give,4,17,8
happen,4,16,2
houston,4,16,0
act,4,15,9
attack,4,14,2
propos,4,12,2
accept,4,11,2
must,4,10,5
promis,4,9,4
present,4,8,8
earn,4,8,7
longer,4,7,3
commit,4,7,0
behind,4,6,5
avoid,4,6,2
stem,4,6,0
open,4,5,15
across,4,5,4
larg,4,5,3
save,4,5,1
effort,4,5,0
capac,4,5,0
littl,4,4,4
predict,4,4,3
period,4,4,3
fresh,4,4,2
contract,4,4,2
prefer,4,4,1
depart,4,4,1
situat,4,4,1
agreement,4,4,0
investig,4,4,0
food,4,4,0
patient,4,4,0
tsunami,4,4,0
known,4,3,6
base,4,3,6
rather,4,3,2
short,4,3,2
suffer,4,3,1
monthli,4,3,1
maintain,4,3,0
motor,4,3,0
advanc,4,3,0
minor,4,3,0
design,4,2,7
indian,4,2,6
paul,4,2,5
australian,4,2,4
built,4,2,3
threaten,4,2,2
highest,4,2,2
near,4,2,2
keep,4,2,2
blame,4,2,1
activ,4,2,1
phone,4,2,0
juli,4,1,4
auction,4,1,4
toward,4,1,3
late,4,1,2
social,4,1,2
express,4,1,2
light,4,1,1
travel,4,1,1
trigger,4,1,0
tabl,4,1,0
chain,4,1,0
ministri,4,1,0
chines,4,1,0
balanc,4,1,0
similar,4,0,4
hear,4,0,3
owner,4,0,3
bought,4,0,2
trend,4,0,2
reuter,4,0,1
note,4,0,1
page,4,0,1
jump,4,0,1
freez,4,0,0
sharpli,4,0,0
mitsubishi,4,0,0
marsh,4,0,0
settlement,4,0,0
daimlerchrysl,4,0,0
oversea,4,0,0
mortgag,4,0,0
optim,4,0,0
slide,4,0,0
anticip,4,0,0
viktor,4,0,0
cox,4,0,0
inhibitor,4,0,0
harm,4,0,0
surpris,4,0,0
observ,4,0,0
advertis,4,0,0
altria,4,0,0
util,4,0,0
normal,4,0,0
su,4,0,0
evas,4,0,0
lebedev,4,0,0
basi,4,0,0
texa,4,0,0
kerek,4,0,0
electr,4,0,0
brake,4,0,0
swiss,4,0,0
hurrican,4,0,0
toyota,4,0,0
dein,4,0,0
furs,4,0,0
transact,4,0,0
campaign,3,27,1
bbc,3,24,30
away,3,17,2
judg,3,16,13
system,3,16,1
evid,3,15,0
question,3,14,3
held,3,13,9
respons,3,12,6
receiv,3,12,5
play,3,11,17
feel,3,11,7
payment,3,11,0
posit,3,10,2
process,3,10,1
trust,3,10,0
tell,3,10,0
john,3,9,6
better,3,9,5
later,3,8,11
step,3,8,3
encourag,3,8,2
ambit,3,8,1
crimin,3,8,1
staff,3,8,0
author,3,7,8
parent,3,7,7
attend,3,7,6
ever,3,7,4
consult,3,7,1
alleg,3,7,0
huge,3,6,7
media,3,6,7
never,3,6,6
almost,3,6,5
begin,3,6,5
refus,3,6,5
six,3,6,4
mark,3,6,3
centr,3,6,2
understand,3,6,2
arm,3,6,2
fail,3,6,2
worri,3,6,1
went,3,5,11
final,3,5,8
shown,3,5,6
daili,3,5,5
hand,3,5,4
difficult,3,5,3
east,3,5,2
sever,3,5,2
kept,3,5,1
shock,3,5,1
northern,3,5,0
prompt,3,5,0
asian,3,5,0
winter,3,5,0
best,3,4,83
build,3,4,4
south,3,4,3
june,3,4,3
stop,3,4,3
trial,3,4,2
cold,3,4,0
focu,3,4,0
meant,3,4,0
fee,3,4,0
agenda,3,4,0
enough,3,3,4
reason,3,3,2
attempt,3,3,2
abil,3,3,1
rang,3,3,1
pass,3,3,1
sent,3,3,0
loan,3,3,0
incom,3,3,0
tv,3,2,24
version,3,2,5
brought,3,2,2
entri,3,2,1
separ,3,2,1
especi,3,2,1
strategi,3,2,1
institut,3,2,1
examin,3,2,0
substanti,3,2,0
sustain,3,2,0
reserv,3,2,0
check,3,2,0
deputi,3,2,0
submiss,3,2,0
object,3,2,0
beij,3,2,0
properli,3,2,0
releas,3,1,19
carri,3,1,12
debut,3,1,10
compar,3,1,4
entertain,3,1,3
electron,3,1,2
bigger,3,1,2
readi,3,1,1
facil,3,1,1
danger,3,1,1
popul,3,1,1
boom,3,1,0
repay,3,1,0
formal,3,1,0
halv,3,1,0
bonus,3,1,0
pain,3,1,0
react,3,1,0
employ,3,1,0
congress,3,1,0
leagu,3,1,0
gap,3,1,0
commerc,3,1,0
acceler,3,1,0
infring,3,1,0
coverag,3,1,0
reynold,3,0,6
alongsid,3,0,6
attract,3,0,4
centuri,3,0,4
distribut,3,0,4
left,3,0,3
western,3,0,3
cool,3,0,3
smaller,3,0,3
partner,3,0,2
reader,3,0,2
format,3,0,2
grew,3,0,2
subsidi,3,0,2
reflect,3,0,2
awar,3,0,1
slightli,3,0,1
peak,3,0,1
ventur,3,0,1
slump,3,0,1
divis,3,0,1
mikhail,3,0,1
technic,3,0,1
expert,3,0,1
airlin,3,0,0
sluggish,3,0,0
stockpil,3,0,0
gasolin,3,0,0
delist,3,0,0
kim,3,0,0
merg,3,0,0
tokyo,3,0,0
tie,3,0,0
spitzer,3,0,0
vice,3,0,0
lawsuit,3,0,0
neither,3,0,0
expans,3,0,0
trim,3,0,0
eurozon,3,0,0
adjust,3,0,0
policyhold,3,0,0
gill,3,0,0
purchas,3,0,0
seagram,3,0,0
whiski,3,0,0
brussel,3,0,0
richest,3,0,0
moscow,3,0,0
painkil,3,0,0
stroke,3,0,0
pfizer,3,0,0
redund,3,0,0
tabloid,3,0,0
retail,3,0,0
plant,3,0,0
nicotin,3,0,0
sue,3,0,0
conspir,3,0,0
staterun,3,0,0
bakri,3,0,0
moratorium,3,0,0
owe,3,0,0
doubledigit,3,0,0
tuc,3,0,0
yuganskneftega,3,0,0
suit,3,0,0
gazprom,3,0,0
baikal,3,0,0
fine,3,0,0
punish,3,0,0
xiluodu,3,0,0
revis,3,0,0
innov,3,0,0
currenc,3,0,0
suv,3,0,0
chevrolet,3,0,0
sedan,3,0,0
maker,3,0,0
petrol,3,0,0
equant,3,0,0
cheaper,3,0,0
negoti,3,0,0
easygroup,3,0,0
charter,3,0,0
gaillard,3,0,0
arsen,3,0,0
labour,2,62,0
brown,2,26,3
secretari,2,26,0
stand,2,22,3
ms,2,19,3
drink,2,19,0
live,2,18,7
book,2,15,12
educ,2,15,8
debat,2,14,1
suspend,2,14,0
programm,2,13,15
involv,2,13,4
appear,2,12,14
sunday,2,11,6
spokesman,2,11,2
poll,2,11,1
terror,2,11,1
discuss,2,10,3
promot,2,9,2
realli,2,8,10
decid,2,8,5
independ,2,8,5
without,2,8,5
inform,2,8,3
measur,2,8,3
council,2,8,3
side,2,8,2
prison,2,8,1
today,2,8,1
limit,2,8,1
controversi,2,7,8
individu,2,7,4
lift,2,7,3
privat,2,7,3
exampl,2,7,3
taken,2,7,3
line,2,7,3
differ,2,7,2
iraq,2,7,2
lie,2,7,1
seriou,2,7,1
allianc,2,7,0
attorney,2,7,0
legisl,2,7,0
crime,2,6,4
repres,2,6,4
forward,2,6,3
politician,2,6,2
unless,2,6,1
mutual,2,6,1
prepar,2,6,1
strike,2,6,1
signific,2,6,1
citizen,2,6,0
stage,2,5,3
bring,2,5,3
adopt,2,5,2
amount,2,5,2
dismiss,2,5,1
sens,2,5,1
simpli,2,5,1
acknowledg,2,5,0
prosecut,2,5,0
citi,2,4,4
wednesday,2,4,3
train,2,4,3
approach,2,4,3
spokeswoman,2,4,2
within,2,4,2
extrem,2,4,2
kill,2,4,2
game,2,4,2
spring,2,4,1
factor,2,4,1
criticis,2,4,1
defeat,2,4,0
welfar,2,4,0
avail,2,4,0
titl,2,3,11
opportun,2,3,4
row,2,3,4
whose,2,3,2
internet,2,3,2
sourc,2,3,2
either,2,3,2
push,2,3,1
averag,2,3,1
relat,2,3,1
potenti,2,3,1
subject,2,3,1
clash,2,3,1
stay,2,3,1
sentenc,2,3,0
appar,2,3,0
narrow,2,3,0
fact,2,3,0
broadband,2,3,0
origin,2,2,9
miss,2,2,7
leav,2,2,6
track,2,2,5
georg,2,2,5
lot,2,2,5
famou,2,2,4
domin,2,2,4
thousand,2,2,3
longterm,2,2,2
network,2,2,2
definit,2,2,2
gone,2,2,2
jail,2,2,1
spent,2,2,1
sixth,2,2,1
reportedli,2,2,1
resourc,2,2,1
deliv,2,2,1
choos,2,2,1
draw,2,2,1
studi,2,2,1
worst,2,2,1
resort,2,2,1
overse,2,2,0
repli,2,2,0
counterpart,2,2,0
ongo,2,2,0
morgan,2,2,0
french,2,2,0
consolid,2,2,0
doubl,2,2,0
advisori,2,2,0
diseas,2,2,0
guardian,2,2,0
expens,2,2,0
decent,2,2,0
proper,2,2,0
ralli,2,2,0
stress,2,2,0
easi,2,2,0
destruct,2,2,0
man,2,1,17
though,2,1,8
began,2,1,7
sister,2,1,6
richard,2,1,5
realiti,2,1,5
whole,2,1,3
badli,2,1,2
togeth,2,1,2
compet,2,1,2
women,2,1,2
influenc,2,1,2
massiv,2,1,1
thrown,2,1,1
persist,2,1,1
rank,2,1,1
slip,2,1,1
explain,2,1,1
onlin,2,1,1
add,2,1,1
vital,2,1,1
led,2,1,1
condit,2,1,1
proport,2,1,1
sensit,2,1,1
fals,2,1,0
mount,2,1,0
tough,2,1,0
brent,2,1,0
strategist,2,1,0
rescu,2,1,0
withdrawn,2,1,0
statist,2,1,0
lowest,2,1,0
stronger,2,1,0
structur,2,1,0
rum,2,1,0
summit,2,1,0
caught,2,1,0
procedur,2,1,0
qualiti,2,1,0
disagr,2,1,0
wage,2,1,0
governor,2,1,0
climb,2,1,0
sport,2,1,0
decad,2,1,0
worsen,2,1,0
probabl,2,1,0
post,2,1,0
assault,2,1,0
seiz,2,1,0
angri,2,1,0
film,2,0,143
popular,2,0,8
paint,2,0,7
summer,2,0,7
eye,2,0,7
earli,2,0,7
disappear,2,0,6
cast,2,0,5
brother,2,0,5
th,2,0,5
closer,2,0,4
bet,2,0,4
chicago,2,0,4
histor,2,0,3
hundr,2,0,3
clinton,2,0,3
knock,2,0,3
attent,2,0,2
enabl,2,0,2
graham,2,0,2
water,2,0,2
crash,2,0,2
roughli,2,0,1
fierc,2,0,1
fewer,2,0,1
premier,2,0,1
wine,2,0,1
dozen,2,0,1
injur,2,0,1
circul,2,0,1
size,2,0,1
district,2,0,1
columbia,2,0,1
deadlin,2,0,1
rebuild,2,0,1
submit,2,0,1
socal,2,0,1
temporari,2,0,1
milder,2,0,1
advantag,2,0,1
focus,2,0,1
buyer,2,0,1
munich,2,0,1
usual,2,0,1
edg,2,0,1
trademark,2,0,1
ownership,2,0,1
equip,2,0,1
wit,2,0,0
weingarten,2,0,0
sullivan,2,0,0
jetstar,2,0,0
august,2,0,0
patrick,2,0,0
cite,2,0,0
bailout,2,0,0
consortium,2,0,0
slowli,2,0,0
bubbl,2,0,0
mtfg,2,0,0
increasingli,2,0,0
bewlay,2,0,0
defraud,2,0,0
onward,2,0,0
volkswagen,2,0,0
siemen,2,0,0
rateset,2,0,0
bannist,2,0,0
barclay,2,0,0
pace,2,0,0
lend,2,0,0
nikkei,2,0,0
slower,2,0,0
weaker,2,0,0
volatil,2,0,0
sun,2,0,0
acquisit,2,0,0
propel,2,0,0
luxuri,2,0,0
kuchma,2,0,0
w,2,0,0
treati,2,0,0
transpar,2,0,0
rybachuk,2,0,0
wto,2,0,0
strateg,2,0,0
celebrex,2,0,0
easier,2,0,0
tumbl,2,0,0
asid,2,0,0
litig,2,0,0
withdrew,2,0,0
therapi,2,0,0
axe,2,0,0
afternoon,2,0,0
strongli,2,0,0
nuj,2,0,0
fitzpatrick,2,0,0
shrink,2,0,0
murdoch,2,0,0
washington,2,0,0
antiracket,2,0,0
rj,2,0,0
lorillard,2,0,0
liggett,2,0,0
williamson,2,0,0
manipul,2,0,0
addict,2,0,0
contrari,2,0,0
accumul,2,0,0
landmark,2,0,0
selloff,2,0,0
flotat,2,0,0
feed,2,0,0
opel,2,0,0
packag,2,0,0
indonesian,2,0,0
siregar,2,0,0
rich,2,0,0
modest,2,0,0
consecut,2,0,0
childcar,2,0,0
ga,2,0,0
gazpromneft,2,0,0
arbitr,2,0,0
kremlin,2,0,0
vow,2,0,0
argument,2,0,0
forum,2,0,0
littleknown,2,0,0
rein,2,0,0
briberi,2,0,0
telecommun,2,0,0
violat,2,0,0
sec,2,0,0
shortli,2,0,0
bribe,2,0,0
subsidiari,2,0,0
cent,2,0,0
largescal,2,0,0
sepa,2,0,0
solv,2,0,0
mw,2,0,0
softer,2,0,0
patch,2,0,0
rapid,2,0,0
jeffrey,2,0,0
rebound,2,0,0
deliveri,2,0,0
abn,2,0,0
amro,2,0,0
phase,2,0,0
monitor,2,0,0
wim,2,0,0
conduc,2,0,0
brusselsbas,2,0,0
thu,2,0,0
ambiti,2,0,0
jose,2,0,0
barroso,2,0,0
alltim,2,0,0
imbal,2,0,0
unfair,2,0,0
undervalu,2,0,0
competitor,2,0,0
faster,2,0,0
carmak,2,0,0
nhtsa,2,0,0
fault,2,0,0
gmc,2,0,0
pontiac,2,0,0
calm,2,0,0
hover,2,0,0
schroeder,2,0,0
italian,2,0,0
berlusconi,2,0,0
g,2,0,0
colombia,2,0,0
peso,2,0,0
leibovich,2,0,0
wave,2,0,0
billion,2,0,0
tourist,2,0,0
maldiv,2,0,0
mitch,2,0,0
threejudg,2,0,0
laid,2,0,0
meti,2,0,0
outlook,2,0,0
nissan,2,0,0
truck,2,0,0
easyjet,2,0,0
hajiioann,2,0,0
stoy,2,0,0
hayward,2,0,0
sterl,2,0,0
inflationari,2,0,0
moder,2,0,0
surplu,2,0,0
peg,2,0,0
xie,2,0,0
yuganskneftegaz,2,0,0
ashburton,2,0,0
grove,2,0,0
premiership,2,0,0
satur,2,0,0
turnov,2,0,0
woo,2,0,0
jeanfrancoi,2,0,0
theodor,2,0,0
clara,2,0,0
bidder,2,0,0
suitor,2,0,0
stumbl,2,0,0
block,2,0,0
londonfrankfurt,2,0,0
elderli,2,0,0
sooner,2,0,0
parti,1,95,6
lord,1,55,2
human,1,38,3
conserv,1,36,0
vote,1,31,6
committe,1,28,1
michael,1,23,7
school,1,22,13
chancellor,1,22,0
hagu,1,22,0
donat,1,20,0
local,1,19,2
common,1,19,1
confer,1,19,1
democrat,1,17,0
british,1,16,30
ban,1,16,1
speak,1,16,1
regist,1,14,1
william,1,13,8
scotland,1,13,1
role,1,12,25
famili,1,12,23
person,1,12,6
death,1,12,5
scheme,1,12,4
tackl,1,12,1
candid,1,12,1
view,1,12,1
win,1,11,12
wait,1,11,1
free,1,10,0
telephon,1,10,0
got,1,9,10
young,1,9,9
commun,1,9,4
done,1,9,3
chase,1,9,2
wrong,1,9,1
opposit,1,9,1
abus,1,9,1
fish,1,9,0
pledg,1,9,0
everi,1,8,6
publish,1,8,3
paid,1,8,3
quit,1,8,2
challeng,1,8,2
ill,1,8,1
urg,1,8,0
matter,1,8,0
age,1,7,13
street,1,7,6
radio,1,7,4
nearli,1,7,2
movement,1,7,2
pretti,1,7,1
gave,1,6,9
join,1,6,7
alway,1,6,6
real,1,6,5
other,1,6,4
eight,1,6,3
civil,1,6,3
child,1,6,2
kind,1,6,2
let,1,6,2
worker,1,6,1
declar,1,6,1
interview,1,6,1
clark,1,6,1
relationship,1,6,1
commission,1,6,0
watchdog,1,6,0
highli,1,6,0
