Term / kata,business,entertainment,politics
audienc,0,3,21
career,0,3,18
great,0,3,9
night,0,3,9
write,0,3,7
form,0,3,6
wonder,0,3,5
walk,0,3,5
tradit,0,3,4
weekend,0,3,4
christian,0,3,4
fli,0,3,3
fortun,0,3,3
christoph,0,3,3
church,0,3,3
wrote,0,3,3
kelli,0,3,3
taylor,0,3,3
read,0,3,3
frank,0,3,3
someon,0,3,2
chanc,0,3,2
pitt,0,3,2
anyon,0,3,2
dinner,0,3,2
earth,0,3,2
diana,0,3,2
serial,0,3,2
mass,0,3,2
seem,0,3,2
daughter,0,3,2
task,0,3,2
advoc,0,3,1
clearli,0,3,1
ring,0,3,1
sensibl,0,3,1
departur,0,3,1
radic,0,3,1
initi,0,3,1
accompani,0,3,1
glasgow,0,3,1
particular,0,3,1
inappropri,0,3,1
occas,0,3,1
scrap,0,3,1
apart,0,3,1
household,0,3,1
anybodi,0,3,1
peac,0,3,1
letter,0,3,1
sex,0,3,1
establish,0,3,1
demonstr,0,3,1
tactic,0,3,0
dixon,0,3,0
ordinari,0,3,0
basic,0,3,0
easter,0,3,0
nobodi,0,3,0
rush,0,3,0
frighten,0,3,0
alzheim,0,3,0
neuron,0,3,0
tissu,0,3,0
deport,0,3,0
scrutini,0,3,0
terrorist,0,3,0
resign,0,3,0
principl,0,3,0
ruth,0,3,0
truanci,0,3,0
bigot,0,3,0
celtic,0,3,0
ranger,0,3,0
violenc,0,3,0
matthew,0,3,0
prof,0,3,0
unison,0,3,0
insul,0,3,0
davey,0,3,0
joseph,0,3,0
kilroysilk,0,3,0
kashmir,0,3,0
pakistan,0,3,0
kashmiri,0,3,0
gavi,0,3,0
bind,0,3,0
confidenti,0,3,0
weapon,0,3,0
fulli,0,3,0
resolut,0,3,0
simpler,0,3,0
faith,0,3,0
frontbench,0,3,0
serialis,0,3,0
helicopt,0,3,0
gateshead,0,3,0
nanni,0,3,0
forgotten,0,3,0
applic,0,3,0
nick,0,3,0
sandra,0,3,0
poster,0,3,0
deepli,0,3,0
document,0,3,0
safeguard,0,3,0
judiciari,0,3,0
concentr,0,3,0
rift,0,3,0
ferri,0,3,0
prohunt,0,3,0
confront,0,3,0
cmf,0,3,0
highland,0,3,0
underag,0,3,0
irrespons,0,3,0
registrar,0,3,0
deer,0,3,0
opik,0,3,0
defra,0,3,0
christma,0,2,20
ceremoni,0,2,13
categori,0,2,13
old,0,2,9
respect,0,2,6
fan,0,2,6
reunit,0,2,6
itv,0,2,5
episod,0,2,5
leicest,0,2,5
lesson,0,2,4
chariti,0,2,4
unveil,0,2,4
harri,0,2,3
pack,0,2,3
lectur,0,2,3
regular,0,2,3
mike,0,2,3
exhibit,0,2,3
adam,0,2,3
mine,0,2,2
entitl,0,2,2
andrew,0,2,2
resist,0,2,2
collin,0,2,2
dub,0,2,2
restrict,0,2,2
aliv,0,2,2
treat,0,2,2
patrol,0,2,2
section,0,2,2
alcohol,0,2,2
bar,0,2,2
resurrect,0,2,2
marshal,0,2,2
africa,0,2,2
speaker,0,2,2
secondari,0,2,2
noon,0,2,2
proof,0,2,1
swap,0,2,1
mood,0,2,1
windsor,0,2,1
castl,0,2,1
wider,0,2,1
equival,0,2,1
twice,0,2,1
skill,0,2,1
script,0,2,1
discount,0,2,1
gate,0,2,1
robin,0,2,1
mate,0,2,1
outrag,0,2,1
passion,0,2,1
advis,0,2,1
trip,0,2,1
address,0,2,1
religion,0,2,1
oliv,0,2,1
bone,0,2,1
johnson,0,2,1
smith,0,2,1
speed,0,2,1
victori,0,2,1
succeed,0,2,1
student,0,2,1
highprofil,0,2,1
organ,0,2,1
quot,0,2,1
recognit,0,2,1
quickli,0,2,1
licenc,0,2,1
certif,0,2,1
suppos,0,2,1
gambl,0,2,1
brighton,0,2,0
antiterror,0,2,0
somewher,0,2,0
sake,0,2,0
pig,0,2,0
judgement,0,2,0
shield,0,2,0
racist,0,2,0
cleaner,0,2,0
disciplin,0,2,0
rid,0,2,0
grandchildren,0,2,0
marr,0,2,0
dissolv,0,2,0
whip,0,2,0
palac,0,2,0
bore,0,2,0
unfulfil,0,2,0
richmond,0,2,0
ffion,0,2,0
speechwrit,0,2,0
cram,0,2,0
branch,0,2,0
thingsit,0,2,0
misjudg,0,2,0
scienc,0,2,0
victim,0,2,0
parkinson,0,2,0
devast,0,2,0
scientist,0,2,0
framework,0,2,0
necessari,0,2,0
detaine,0,2,0
belmarsh,0,2,0
egypt,0,2,0
jordan,0,2,0
discriminatori,0,2,0
wiretap,0,2,0
confin,0,2,0
liberti,0,2,0
camilla,0,2,0
await,0,2,0
princess,0,2,0
delight,0,2,0
archbishop,0,2,0
canterburi,0,2,0
divorc,0,2,0
authoris,0,2,0
pleas,0,2,0
congratul,0,2,0
deselect,0,2,0
midbedfordshir,0,2,0
privileg,0,2,0
unjust,0,2,0
welsh,0,2,0
crackdown,0,2,0
remaind,0,2,0
behaviour,0,2,0
sweep,0,2,0
youngster,0,2,0
tool,0,2,0
soccer,0,2,0
instanc,0,2,0
religi,0,2,0
hatr,0,2,0
runup,0,2,0
therefor,0,2,0
oxford,0,2,0
switzerland,0,2,0
proud,0,2,0
prenti,0,2,0
conflict,0,2,0
voucher,0,2,0
plaid,0,2,0
cymru,0,2,0
gp,0,2,0
tremend,0,2,0
remov,0,2,0
reshuffl,0,2,0
chest,0,2,0
autumn,0,2,0
amritsar,0,2,0
rail,0,2,0
mountain,0,2,0
norway,0,2,0
iff,0,2,0
leant,0,2,0
invas,0,2,0
peer,0,2,0
solicitor,0,2,0
qc,0,2,0
cook,0,2,0
convent,0,2,0
indict,0,2,0
sceptic,0,2,0
elit,0,2,0
complex,0,2,0
portillo,0,2,0
column,0,2,0
pitch,0,2,0
discrimin,0,2,0
muslim,0,2,0
terribl,0,2,0
consider,0,2,0
urban,0,2,0
deep,0,2,0
letwin,0,2,0
warm,0,2,0
mainten,0,2,0
correspond,0,2,0
judici,0,2,0
ecommerc,0,2,0
booz,0,2,0
feet,0,2,0
trail,0,2,0
machin,0,2,0
deleg,0,2,0
heath,0,2,0
snatch,0,2,0
offend,0,2,0
imprison,0,2,0
oblig,0,2,0
euroscept,0,2,0
allegedli,0,2,0
kilbrid,0,2,0
lanarkshir,0,2,0
mep,0,2,0
lawabid,0,2,0
scale,0,2,0
englishspeak,0,2,0
manifesto,0,2,0
none,0,2,0
distract,0,2,0
idioci,0,2,0
herald,0,2,0
overreact,0,2,0
overshot,0,2,0
runway,0,2,0
nielson,0,2,0
veto,0,2,0
falcon,0,2,0
hutton,0,2,0
breakfast,0,2,0
frost,0,2,0
contempt,0,2,0
prescott,0,2,0
deliber,0,2,0
manoeuvr,0,2,0
profound,0,2,0
mistrust,0,2,0
pretend,0,2,0
alright,0,2,0
betray,0,2,0
longplan,0,2,0
outdo,0,2,0
squabbl,0,2,0
liam,0,2,0
repaid,0,2,0
complac,0,2,0
liverpool,0,2,0
oti,0,2,0
station,0,2,0
ledburi,0,2,0
countrysid,0,2,0
interpret,0,2,0
incapacit,0,2,0
presumpt,0,2,0
withdraw,0,2,0
fellowship,0,2,0
lcf,0,2,0
lammi,0,2,0
clariti,0,2,0
snp,0,2,0
consequ,0,2,0
context,0,2,0
nutter,0,2,0
aggress,0,2,0
ancram,0,2,0
noneu,0,2,0
jcwi,0,2,0
asylum,0,2,0
beynon,0,2,0
proportion,0,2,0
incompat,0,2,0
processor,0,2,0
fisheri,0,2,0
finni,0,2,0
peterhead,0,2,0
devon,0,2,0
unwant,0,2,0
invent,0,2,0
star,0,1,70
award,0,1,63
actor,0,1,42
band,0,1,25
prize,0,1,18
winner,0,1,16
rock,0,1,15
celebr,0,1,11
love,0,1,9
featur,0,1,9
classic,0,1,9
soul,0,1,8
davi,0,1,8
stori,0,1,8
colleg,0,1,7
green,0,1,7
novel,0,1,7
idea,0,1,7
reev,0,1,6
talent,0,1,6
video,0,1,6
red,0,1,5
guy,0,1,5
bafta,0,1,5
woman,0,1,5
hugh,0,1,5
martin,0,1,5
incred,0,1,5
saturday,0,1,4
dead,0,1,4
clive,0,1,3
edinburgh,0,1,3
dedic,0,1,3
guid,0,1,3
leaflet,0,1,3
jane,0,1,3
test,0,1,3
impress,0,1,3
edit,0,1,3
ticket,0,1,3
simon,0,1,3
cri,0,1,3
michel,0,1,3
influenti,0,1,3
stephen,0,1,3
scot,0,1,3
shoot,0,1,3
desper,0,1,3
solo,0,1,3
break,0,1,2
editor,0,1,2
brain,0,1,2
mid,0,1,2
discoveri,0,1,2
diamond,0,1,2
st,0,1,2
jonathan,0,1,2
taxpay,0,1,2
widespread,0,1,2
commerci,0,1,2
snow,0,1,2
brian,0,1,2
breakthrough,0,1,2
collater,0,1,2
contribut,0,1,2
notori,0,1,2
matrix,0,1,2
teacher,0,1,2
outstand,0,1,2
score,0,1,2
stunt,0,1,2
fantast,0,1,2
reduct,0,1,2
reveng,0,1,2
ran,0,1,2
dian,0,1,2
pub,0,1,2
road,0,1,2
treasuri,0,1,2
la,0,1,2
upbeat,0,1,1
chord,0,1,1
cambridg,0,1,1
id,0,1,1
master,0,1,1
stuff,0,1,1
superman,0,1,1
opt,0,1,1
numer,0,1,1
surviv,0,1,1
fifth,0,1,1
bristol,0,1,1
visibl,0,1,1
hardcor,0,1,1
fundrais,0,1,1
al,0,1,1
els,0,1,1
ten,0,1,1
despair,0,1,1
consist,0,1,1
predecessor,0,1,1
babi,0,1,1
multimillion,0,1,1
millionair,0,1,1
mcdonald,0,1,1
shrine,0,1,1
millennium,0,1,1
hilari,0,1,1
eve,0,1,1
relev,0,1,1
weekli,0,1,1
exact,0,1,1
skin,0,1,1
fundament,0,1,1
safe,0,1,1
employe,0,1,1
poorest,0,1,1
comput,0,1,1
allen,0,1,1
hamilton,0,1,1
flourish,0,1,1
hall,0,1,1
applaus,0,1,1
postpon,0,1,1
tast,0,1,1
tap,0,1,1
clean,0,1,1
spoke,0,1,1
ted,0,1,1
wilson,0,1,1
gear,0,1,1
encount,0,1,1
robberi,0,1,1
widerang,0,1,1
storm,0,1,1
knight,0,1,1
retrospect,0,1,1
regret,0,1,1
beyond,0,1,1
defiant,0,1,1
imposs,0,1,1
preserv,0,1,1
andrea,0,1,1
loophol,0,1,1
unscrupul,0,1,1
inherit,0,1,1
updat,0,1,1
evil,0,1,1
nicola,0,1,1
joy,0,1,1
realis,0,1,1
anonym,0,1,1
flagship,0,1,1
upcom,0,1,1
tip,0,1,1
firsttim,0,1,1
degre,0,1,1
condemn,0,1,1
brad,0,1,1
resid,0,1,1
conveni,0,1,1
samuel,0,1,1
belgian,0,1,1
northwest,0,1,1
outlaw,0,1,1
complain,0,1,1
exercis,0,1,1
style,0,1,1
jibe,0,1,0
behav,0,1,0
cling,0,1,0
fagin,0,1,0
shylock,0,1,0
beckett,0,1,0
cancel,0,1,0
curriculum,0,1,0
tape,0,1,0
perfectli,0,1,0
pose,0,1,0
frantic,0,1,0
fouryear,0,1,0
embryon,0,1,0
laboratori,0,1,0
kidney,0,1,0
nostalg,0,1,0
har,0,1,0
mankind,0,1,0
enhanc,0,1,0
stemcel,0,1,0
meddl,0,1,0
multipl,0,1,0
sclerosi,0,1,0
courag,0,1,0
grownup,0,1,0
paralys,0,1,0
hors,0,1,0
ride,0,1,0
outlin,0,1,0
curfew,0,1,0
tag,0,1,0
algeria,0,1,0
tunisia,0,1,0
tortur,0,1,0
staffordsmith,0,1,0
deter,0,1,0
freed,0,1,0
backfir,0,1,0
resent,0,1,0
recruit,0,1,0
securityclear,0,1,0
phonetap,0,1,0
shami,0,1,0
chakrabarti,0,1,0
adher,0,1,0
cat,0,1,0
mous,0,1,0
hrh,0,1,0
duchess,0,1,0
cornwal,0,1,0
consort,0,1,0
monarchi,0,1,0
throne,0,1,0
grandson,0,1,0
abdic,0,1,0
knee,0,1,0
display,0,1,0
heirloom,0,1,0
wifetob,0,1,0
duke,0,1,0
luck,0,1,0
prayer,0,1,0
chapel,0,1,0
rowan,0,1,0
suprem,0,1,0
anglican,0,1,0
remarriag,0,1,0
divorce,0,1,0
disillusion,0,1,0
ro,0,1,0
coward,0,1,0
mostli,0,1,0
clarenc,0,1,0
visitor,0,1,0
odel,0,1,0
manner,0,1,0
suspens,0,1,0
unreserv,0,1,0
apolog,0,1,0
error,0,1,0
smallscal,0,1,0
turnout,0,1,0
mailshot,0,1,0
shift,0,1,0
sam,0,1,0
democraci,0,1,0
unhappi,0,1,0
consensu,0,1,0
stubborn,0,1,0
skip,0,1,0
permit,0,1,0
classroom,0,1,0
academ,0,1,0
hotspot,0,1,0
countrywid,0,1,0
apprehend,0,1,0
dodg,0,1,0
cathi,0,1,0
cup,0,1,0
parkhead,0,1,0
antisectarian,0,1,0
squeez,0,1,0
tension,0,1,0
troublesom,0,1,0
desir,0,1,0
taint,0,1,0
troublemak,0,1,0
boil,0,1,0
identifi,0,1,0
incit,0,1,0
unsolicit,0,1,0
privaci,0,1,0
identif,0,1,0
phil,0,1,0
depend,0,1,0
swift,0,1,0
ceas,0,1,0
guidelin,0,1,0
tsar,0,1,0
ormond,0,1,0
ayear,0,1,0
wellb,0,1,0
clinic,0,1,0
oriel,0,1,0
grandfath,0,1,0
overhaul,0,1,0
eightieth,0,1,0
anxiou,0,1,0
leadup,0,1,0
anger,0,1,0
servant,0,1,0
dave,0,1,0
raw,0,1,0
rile,0,1,0
breathtak,0,1,0
hypocrisi,0,1,0
serwotka,0,1,0
rethink,0,1,0
brigad,0,1,0
firefight,0,1,0
chip,0,1,0
woolstenholm,0,1,0
scandal,0,1,0
blaengwynfi,0,1,0
afan,0,1,0
valley,0,1,0
aberavon,0,1,0
fiveandahalf,0,1,0
length,0,1,0
weep,0,1,0
healthier,0,1,0
acrosstheboard,0,1,0
overshadow,0,1,0
rhodri,0,1,0
nye,0,1,0
bevan,0,1,0
architect,0,1,0
ieuan,0,1,0
wyn,0,1,0
deckchair,0,1,0
kisrti,0,1,0
deflect,0,1,0
flak,0,1,0
corner,0,1,0
affili,0,1,0
drayson,0,1,0
powderject,0,1,0
smallpox,0,1,0
businessman,0,1,0
philanthropist,0,1,0
ondaatj,0,1,0
refriger,0,1,0
magnat,0,1,0
haughey,0,1,0
obe,0,1,0
bequest,0,1,0
beardmor,0,1,0
hambro,0,1,0
magan,0,1,0
bearwood,0,1,0
rowntre,0,1,0
ltd,0,1,0
syke,0,1,0
knowingli,0,1,0
recklessli,0,1,0
ceasefir,0,1,0
islamabad,0,1,0
srinagar,0,1,0
muzaffarabad,0,1,0
warmli,0,1,0
applaud,0,1,0
sikhism,0,1,0
holiest,0,1,0
templ,0,1,0
bread,0,1,0
roti,0,1,0
pakistani,0,1,0
lahor,0,1,0
rajasthan,0,1,0
sindh,0,1,0
reopen,0,1,0
consul,0,1,0
karachi,0,1,0
mumbai,0,1,0
bombay,0,1,0
flashpoint,0,1,0
mortal,0,1,0
fivepoint,0,1,0
jointli,0,1,0
thereaft,0,1,0
barrier,0,1,0
compassion,0,1,0
disguis,0,1,0
neoliber,0,1,0
deeper,0,1,0
invad,0,1,0
wholli,0,1,0
unfound,0,1,0
stormi,0,1,0
pivot,0,1,0
willing,0,1,0
mackay,0,1,0
skidelski,0,1,0
exactli,0,1,0
dossier,0,1,0
finalis,0,1,0
harriet,0,1,0
harman,0,1,0
greenwood,0,1,0
irvin,0,1,0
lairg,0,1,0
purport,0,1,0
misl,0,1,0
accur,0,1,0
butler,0,1,0
philipp,0,1,0
cheri,0,1,0
sanction,0,1,0
lament,0,1,0
iren,0,1,0
flout,0,1,0
spread,0,1,0
camp,0,1,0
guantanamo,0,1,0
bay,0,1,0
cuba,0,1,0
ageold,0,1,0
translat,0,1,0
sidelin,0,1,0
infecti,0,1,0
secretarygener,0,1,0
perceiv,0,1,0
passiv,0,1,0
mobilis,0,1,0
drip,0,1,0
alqaeda,0,1,0
irrelev,0,1,0
strife,0,1,0
elitist,0,1,0
bunch,0,1,0
hopemong,0,1,0
overcom,0,1,0
sixfigur,0,1,0
exhealth,0,1,0
supremo,0,1,0
command,0,1,0
bridgepoint,0,1,0
oneman,0,1,0
net,0,1,0
undisclos,0,1,0
variou,0,1,0
nonexecut,0,1,0
bae,0,1,0
paperback,0,1,0
tote,0,1,0
ann,0,1,0
widdecomb,0,1,0
agoni,0,1,0
aunt,0,1,0
indepen,0,1,0
seminar,0,1,0
abdullah,0,1,0
sightse,0,1,0
wadi,0,1,0
hamper,0,1,0
sultan,0,1,0
brunei,0,1,0
mexico,0,1,0
jet,0,1,0
singlebedroom,0,1,0
flat,0,1,0
outdat,0,1,0
racial,0,1,0
enterpris,0,1,0
hindu,0,1,0
sikh,0,1,0
downdraft,0,1,0
islamaphobia,0,1,0
sayeeda,0,1,0
warsi,0,1,0
abolish,0,1,0
compulsori,0,1,0
contracept,0,1,0
arrog,0,1,0
forthcom,0,1,0
sage,0,1,0
nurs,0,1,0
lay,0,1,0
mistak,0,1,0
erm,0,1,0
repossess,0,1,0
bust,0,1,0
platform,0,1,0
ovat,0,1,0
minimum,0,1,0
matern,0,1,0
interact,0,1,0
queri,0,1,0
email,0,1,0
blairera,0,1,0
callaghan,0,1,0
copeland,0,1,0
beef,0,1,0
wake,0,1,0
bse,0,1,0
allparti,0,1,0
loyal,0,1,0
backbench,0,1,0
wound,0,1,0
archi,0,1,0
kirkwood,0,1,0
inaccur,0,1,0
conting,0,1,0
cs,0,1,0
backlog,0,1,0
nowher,0,1,0
dissatisfi,0,1,0
disench,0,1,0
escal,0,1,0
surround,0,1,0
absent,0,1,0
unrecover,0,1,0
penni,0,1,0
expartn,0,1,0
theresa,0,1,0
doug,0,1,0
audit,0,1,0
multitud,0,1,0
unansw,0,1,0
budd,0,1,0
exhom,0,1,0
exlov,0,1,0
suspici,0,1,0
mystifi,0,1,0
uncov,0,1,0
judgel,0,1,0
governmentcommiss,0,1,0
micro,0,1,0
sprint,0,1,0
hi,0,1,0
sweden,0,1,0
matur,0,1,0
desktop,0,1,0
cultiv,0,1,0
worldlead,0,1,0
eeconomi,0,1,0
eighth,0,1,0
deploy,0,1,0
unfinish,0,1,0
whisper,0,1,0
quietli,0,1,0
smart,0,1,0
rebuff,0,1,0
adlib,0,1,0
pepper,0,1,0
humbl,0,1,0
traine,0,1,0
vicar,0,1,0
honesti,0,1,0
larissa,0,1,0
stepson,0,1,0
sholto,0,1,0
mute,0,1,0
hollow,0,1,0
justif,0,1,0
hastili,0,1,0
territori,0,1,0
maria,0,1,0
hutch,0,1,0
nois,0,1,0
infam,0,1,0
lampoon,0,1,0
bewilder,0,1,0
byproduct,0,1,0
hing,0,1,0
vaughan,0,1,0
pundit,0,1,0
harold,0,1,0
rerun,0,1,0
dent,0,1,0
murray,0,1,0
aldridg,0,1,0
browhil,0,1,0
whoever,0,1,0
bang,0,1,0
lynton,0,1,0
crosbi,0,1,0
nohop,0,1,0
bia,0,1,0
whop,0,1,0
namesak,0,1,0
yearlong,0,1,0
jean,0,1,0
corston,0,1,0
regardless,0,1,0
glaringli,0,1,0
illsuit,0,1,0
misplac,0,1,0
overreli,0,1,0
schole,0,1,0
hang,0,1,0
stoke,0,1,0
tendenc,0,1,0
knife,0,1,0
sexual,0,1,0
twoyear,0,1,0
hung,0,1,0
window,0,1,0
sheet,0,1,0
guard,0,1,0
inconceiv,0,1,0
overrul,0,1,0
overlook,0,1,0
concurr,0,1,0
reheat,0,1,0
doubleact,0,1,0
counterclaim,0,1,0
frustrat,0,1,0
countless,0,1,0
load,0,1,0
nonsens,0,1,0
schoolboy,0,1,0
boulton,0,1,0
playground,0,1,0
qualm,0,1,0
guess,0,1,0
ratchet,0,1,0
preelect,0,1,0
hunger,0,1,0
euphor,0,1,0
throw,0,1,0
crockeri,0,1,0
chose,0,1,0
oppon,0,1,0
smear,0,1,0
vacuou,0,1,0
somerset,0,1,0
basingstok,0,1,0
shrewsburi,0,1,0
dorset,0,1,0
torbay,0,1,0
threeparti,0,1,0
princip,0,1,0
touchyfe,0,1,0
disorderli,0,1,0
bryan,0,1,0
luke,0,1,0
tomlinson,0,1,0
impromptu,0,1,0
chare,0,1,0
formerli,0,1,0
occur,0,1,0
trespass,0,1,0
bow,0,1,0
magistr,0,1,0
eton,0,1,0
shropshir,0,1,0
obviou,0,1,0
sheep,0,1,0
redver,0,1,0
hartpuri,0,1,0
gloucestershir,0,1,0
holliday,0,1,0
huntsman,0,1,0
herefordshir,0,1,0
thame,0,1,0
polo,0,1,0
highgrov,0,1,0
elliot,0,1,0
bromesberrow,0,1,0
pointtopoint,0,1,0
jockey,0,1,0
wakeham,0,1,0
chef,0,1,0
wrestl,0,1,0
doorkeep,0,1,0
entranc,0,1,0
bundl,0,1,0
handcuf,0,1,0
forg,0,1,0
holder,0,1,0
withheld,0,1,0
withhold,0,1,0
otherwis,0,1,0
somebodi,0,1,0
omiss,0,1,0
iain,0,1,0
duncan,0,1,0
nineti,0,1,0
petit,0,1,0
saunder,0,1,0
unwis,0,1,0
hasti,0,1,0
diagnosi,0,1,0
exlabour,0,1,0
newsnight,0,1,0
dementia,0,1,0
mencap,0,1,0
autist,0,1,0
misunderstand,0,1,0
okay,0,1,0
glenurquhart,0,1,0
inver,0,1,0
councillor,0,1,0
davidson,0,1,0
loch,0,1,0
ness,0,1,0
quip,0,1,0
preach,0,1,0
regularli,0,1,0
spree,0,1,0
rape,0,1,0
cheapli,0,1,0
incap,0,1,0
holyrood,0,1,0
sturgeon,0,1,0
gaff,0,1,0
stagger,0,1,0
over,0,1,0
neil,0,1,0
brigand,0,1,0
mugger,0,1,0
briber,0,1,0
gangster,0,1,0
outgo,0,1,0
peerag,0,1,0
immens,0,1,0
glibli,0,1,0
bedwellti,0,1,0
sudden,0,1,0
rivalri,0,1,0
gmtv,0,1,0
birkenhead,0,1,0
cameron,0,1,0
witney,0,1,0
funni,0,1,0
dirti,0,1,0
walker,0,1,0
birth,0,1,0
preciou,0,1,0
pregnanc,0,1,0
sailor,0,1,0
setup,0,1,0
horribl,0,1,0
guilt,0,1,0
marrow,0,1,0
eal,0,1,0
conceiv,0,1,0
euston,0,1,0
essex,0,1,0
maggi,0,1,0
emili,0,1,0
pelham,0,1,0
endors,0,1,0
vincent,0,1,0
deterior,0,1,0
shark,0,1,0
persuad,0,1,0
mixtur,0,1,0
hour,0,1,0
unpredict,0,1,0
brush,0,1,0
byelect,0,1,0
devalu,0,1,0
dunn,0,1,0
iran,0,1,0
aftermath,0,1,0
forget,0,1,0
unaccount,0,1,0
zimbabw,0,1,0
burma,0,1,0
scope,0,1,0
precondit,0,1,0
criteria,0,1,0
profoundli,0,1,0
vast,0,1,0
highlevel,0,1,0
li,0,1,0
zhaox,0,1,0
hong,0,1,0
kong,0,1,0
de,0,1,0
disrupt,0,1,0
liechtenstein,0,1,0
iceland,0,1,0
seeker,0,1,0
speciallydesign,0,1,0
rhian,0,1,0
crossparti,0,1,0
disproportion,0,1,0
amoah,0,1,0
deterr,0,1,0
blatant,0,1,0
registr,0,1,0
draconian,0,1,0
holland,0,1,0
factfind,0,1,0
ross,0,1,0
port,0,1,0
fraserburgh,0,1,0
alloc,0,1,0
variat,0,1,0
aberdeen,0,1,0
austin,0,1,0
mitchel,0,1,0
harvest,0,1,0
farm,0,1,0
lembit,0,1,0
landown,0,1,0
gile,0,1,0
touch,0,1,0
techniqu,0,1,0
rifl,0,1,0
convers,0,1,0
flush,0,1,0
mammal,0,1,0
bobbi,0,1,0
distinguish,0,1,0
exempt,0,1,0
unintent,0,1,0
hound,0,1,0
luff,0,1,0
disastr,0,1,0
accommod,0,1,0
hobday,0,1,0
cruel,0,1,0
bark,0,1,0
exmodel,0,1,0
crisscross,0,1,0
hq,0,1,0
hide,0,1,0
undertak,0,1,0
pattern,0,1,0
bournemouth,0,1,0
fring,0,1,0
addact,0,1,0
chat,0,1,0
probe,0,1,0
vega,0,1,0
locat,0,1,0
ibrox,0,1,0
casino,0,1,0
fruit,0,1,0
unlimit,0,1,0
shirk,0,1,0
music,0,0,81
album,0,0,34
pop,0,0,26
festiv,0,0,24
artist,0,0,24
nomin,0,0,21
movi,0,0,20
lee,0,0,20
actress,0,0,19
song,0,0,18
honour,0,0,15
screen,0,0,15
comedi,0,0,14
dicaprio,0,0,14
hollywood,0,0,14
hill,0,0,13
ray,0,0,13
box,0,0,12
chart,0,0,12
osbourn,0,0,12
jayz,0,0,12
theatr,0,0,11
singer,0,0,11
boy,0,0,11
grammi,0,0,11
comic,0,0,11
inspir,0,0,10
writer,0,0,10
kasabian,0,0,10
label,0,0,9
oscar,0,0,9
danc,0,0,9
hendrix,0,0,9
kaprano,0,0,9
musician,0,0,9
hiphop,0,0,9
stan,0,0,9
sequel,0,0,8
angel,0,0,8
berlin,0,0,8
scholl,0,0,8
aviat,0,0,8
jami,0,0,8
collabor,0,0,8
jame,0,0,8
creativ,0,0,8
jam,0,0,8
melcher,0,0,8
globe,0,0,8
slater,0,0,8
dvd,0,0,8
beat,0,0,7
lo,0,0,7
brit,0,0,7
guitarist,0,0,7
listen,0,0,7
art,0,0,7
rapper,0,0,7
foxx,0,0,7
drama,0,0,7
def,0,0,7
charact,0,0,7
favourit,0,0,7
manic,0,0,7
compos,0,0,6
opera,0,0,6
halloween,0,0,6
carpent,0,0,6
nomine,0,0,6
franz,0,0,6
stone,0,0,6
kany,0,0,6
rap,0,0,6
rb,0,0,6
idol,0,0,6
vera,0,0,6
drake,0,0,6
scoggin,0,0,6
marvel,0,0,6
formula,0,0,6
hero,0,0,6
sunshin,0,0,6
spotless,0,0,6
neverland,0,0,6
rowland,0,0,6
collect,0,0,6
florida,0,0,6
filmmak,0,0,5
scorses,0,0,5
born,0,0,5
greatest,0,0,5
adventur,0,0,5
mtv,0,0,5
cowel,0,0,5
ferdinand,0,0,5
element,0,0,5
concert,0,0,5
ultim,0,0,5
channel,0,0,5
viewer,0,0,5
jude,0,0,5
meighan,0,0,5
rocafella,0,0,5
cinema,0,0,5
academi,0,0,5
goodrem,0,0,5
staunton,0,0,5
costar,0,0,5
vocal,0,0,5
contemporari,0,0,5
versac,0,0,5
